Ensembl ID	Gene ID	Symbol	Family	Type	Alias
ENSG00000162599	4774.0	NFIA	CTF/NFI	TF	
ENSG00000111249	23316.0	CUX2	CUT	TF	
ENSG00000119547	9480.0	ONECUT2	CUT	TF	
ENSG00000160967	1523.0	CUX1	CUT	TF	
ENSG00000169856	3175.0	ONECUT1	CUT	TF	
ENSG00000182568	6304.0	SATB1	CUT	TF	
ENSG00000205922	390874.0	ONECUT3	CUT	TF	
ENSG00000119042	23314.0	SATB2	CUT	TF	
ENSG00000064218	58524.0	DMRT3	DM	TF	
ENSG00000137090	1761.0	DMRT1	DM	TF	
ENSG00000142025	63946.0	DMRTC2	DM	TF	
ENSG00000142700	63950.0	DMRTA2	DM	TF	
ENSG00000143006	63948.0	DMRTB1	DM	TF	
ENSG00000173253	10655.0	DMRT2	DM	TF	
ENSG00000176399	63951.0	DMRTA1	DM	TF	
ENSG00000007968	1870.0	E2F2	E2F	TF	
ENSG00000101412	1869.0	E2F1	E2F	TF	
ENSG00000112242	1871.0	E2F3	E2F	TF	
ENSG00000114126	7029.0	TFDP2	E2F	TF	
ENSG00000129173	79733.0	E2F8	E2F	TF	
ENSG00000133740	1875.0	E2F5	E2F	TF	
ENSG00000165891	144455.0	E2F7	E2F	TF	
ENSG00000169016	1876.0	E2F6	E2F	TF	
ENSG00000183434	51270.0	TFDP3	E2F	TF	
ENSG00000198176	7027.0	TFDP1	E2F	TF	
ENSG00000205250	1874.0	E2F4	E2F	TF	
ENSG00000025434	10062.0	NR1H3	Ecdystd receptor	TF	
ENSG00000131408	7376.0	NR1H2	Ecdystd receptor	TF	
ENSG00000006468	2115.0	ETV1	ETS	TF	
ENSG00000010030	51513.0	ETV7	ETS	TF	
ENSG00000066336	6688.0	SPI1	ETS	TF	
ENSG00000102034	2000.0	ELF4	ETS	TF	
ENSG00000105672	2116.0	ETV2	ETS	TF	
ENSG00000105722	2077.0	ERF	ETS	TF	
ENSG00000109381	1998.0	ELF2	ETS	TF	
ENSG00000111145	2004.0	ELK3	ETS	TF	
ENSG00000117036	2117.0	ETV3	ETS	TF	
ENSG00000120690	1997.0	ELF1	ETS	TF	
ENSG00000124664	25803.0	SPDEF	ETS	TF	
ENSG00000126767	2002.0	ELK1	ETS	TF	
ENSG00000134954	2113.0	ETS1	ETS	TF	
ENSG00000135373	26298.0	EHF	ETS	TF	
ENSG00000135374	2001.0	ELF5	ETS	TF	
ENSG00000139083	2120.0	ETV6	ETS	TF	
ENSG00000142539	6689.0	SPIB	ETS	TF	
ENSG00000151702	2313.0	FLI1	ETS	TF	
ENSG00000154727	2551.0	GABPA	ETS	TF	
ENSG00000157554	2078.0	ERG	ETS	TF	
ENSG00000157557	2114.0	ETS2	ETS	TF	
ENSG00000158711	2005.0	ELK4	ETS	TF	
ENSG00000163435	1999.0	ELF3	ETS	TF	
ENSG00000163497	54738.0	FEV	ETS	TF	
ENSG00000166211	121599.0	SPIC	ETS	TF	
ENSG00000175832	2118.0	ETV4	ETS	TF	
ENSG00000235187			ETS	TF	
ENSG00000244405	2119.0	ETV5	ETS	TF	
ENSG00000253831			ETS	TF	
ENSG00000053254	1112.0	FOXN3	Fork head	TF	
ENSG00000054598	2296.0	FOXC1	Fork head	TF	
ENSG00000065970	55810.0	FOXJ2	Fork head	TF	
ENSG00000103241	2294.0	FOXF1	Fork head	TF	
ENSG00000109101	8456.0	FOXN1	Fork head	TF	
ENSG00000111206	2305.0	FOXM1	Fork head	TF	
ENSG00000114861	27086.0	FOXP1	Fork head	TF	
ENSG00000118689	2309.0	FOXO3	Fork head	TF	
ENSG00000125798	3170.0	FOXA2	Fork head	TF	
ENSG00000128573	93986.0	FOXP2	Fork head	TF	
ENSG00000129654	2302.0	FOXJ1	Fork head	TF	
ENSG00000137166	116113.0	FOXP4	Fork head	TF	
ENSG00000137273	2295.0	FOXF2	Fork head	TF	
ENSG00000139445	121643.0	FOXN4	Fork head	TF	
ENSG00000141568	3607.0	FOXK2	Fork head	TF	
ENSG00000150907	2308.0	FOXO1	Fork head	TF	
ENSG00000160973	8928.0	FOXH1	Fork head	TF	
ENSG00000164379	94234.0	FOXQ1	Fork head	TF	
ENSG00000164916	221937.0	FOXK1	Fork head	TF	
ENSG00000168269	2299.0	FOXI1	Fork head	TF	
ENSG00000170122	2298.0	FOXD4	Fork head	TF	
ENSG00000170608	3171.0	FOXA3	Fork head	TF	
ENSG00000170802	3344.0	FOXN2	Fork head	TF	
ENSG00000171956	27023.0	FOXB1	Fork head	TF	
ENSG00000176165	2290.0	FOXG1	Fork head	TF	
ENSG00000176302	283150.0	FOXR1	Fork head	TF	
ENSG00000176678	2300.0	FOXL1	Fork head	TF	
ENSG00000176692	2303.0	FOXC2	Fork head	TF	
ENSG00000178919	2304.0	FOXE1	Fork head	TF	
ENSG00000179772	2307.0	FOXS1	Fork head	TF	
ENSG00000183770	668.0	FOXL2	Fork head	TF	
ENSG00000184481	4303.0	FOXO4	Fork head	TF	
ENSG00000184492	200350.0	FOXD4L1	Fork head	TF	
ENSG00000184659	349334.0	FOXD4L4	Fork head	TF	
ENSG00000186564	2306.0	FOXD2	Fork head	TF	
ENSG00000186766	399823.0	FOXI2	Fork head	TF	
ENSG00000186790	2301.0	FOXE3	Fork head	TF	
ENSG00000187140	27022.0	FOXD3	Fork head	TF	
ENSG00000187559	286380.0	FOXD4L3	Fork head	TF	
ENSG00000189299	139628.0	FOXR2	Fork head	TF	
ENSG00000198815	22887.0	FOXJ3	Fork head	TF	
ENSG00000204060	100132074.0	FOXO6	Fork head	TF	
ENSG00000204612	442425.0	FOXB2	Fork head	TF	
ENSG00000204779	653427.0	FOXD4L5	Fork head	TF	
ENSG00000204793	653404.0	FOXD4L6	Fork head	TF	
ENSG00000204828	100036519.0	FOXD4L2	Fork head	TF	
ENSG00000242802	9907.0	KIAA0415	Fork head	TF	
ENSG00000129514	3169.0	FOXA1	Fork head	TF	
ENSG00000049768	50943.0	FOXP3	Fork head	TF	
ENSG00000124827	9247.0	GCM2	GCM	TF	
ENSG00000137270	8521.0	GCM1	GCM	TF	
ENSG00000113580	2908.0	NR3C1	GCR	TF	
ENSG00000006704	9569.0	GTF2IRD1	GTF2I	TF	
ENSG00000077809	2969.0	GTF2I	GTF2I	TF	
ENSG00000174428	389524.0	GTF2IRD2B	GTF2I	TF	
ENSG00000187721			GTF2I	TF	
ENSG00000196275	84163.0	GTF2IRD2	GTF2I	TF	
ENSG00000005513	30812.0	SOX8	HMG	TF	
ENSG00000039600	11063.0	SOX30	HMG	TF	
ENSG00000064933	5378.0	PMS1	HMG	TF	
ENSG00000079432	23152.0	CIC	HMG	TF	
ENSG00000081059	6932.0	TCF7	HMG	TF	
ENSG00000092203	9878.0	TOX4	HMG	TF	
ENSG00000100146	6663.0	SOX10	HMG	TF	
ENSG00000100281	10042.0	HMGXB4	HMG	TF	
ENSG00000105856	26959.0	HBP1	HMG	TF	
ENSG00000108064	7019.0	TFAM	HMG	TF	
ENSG00000108312	7343.0	UBTF	HMG	TF	
ENSG00000109685	7468.0	WHSC1	HMG	TF	
ENSG00000110693	55553.0	SOX6	HMG	TF	
ENSG00000113716	22993.0	HMGXB3	HMG	TF	
ENSG00000114439	56987.0	BBX	HMG	TF	
ENSG00000124191	84969.0	TOX2	HMG	TF	
ENSG00000124766	6659.0	SOX4	HMG	TF	
ENSG00000125285	11166.0	SOX21	HMG	TF	
ENSG00000125398	6662.0	SOX9	HMG	TF	
ENSG00000129194	6665.0	SOX15	HMG	TF	
ENSG00000134532	6660.0	SOX5	HMG	TF	
ENSG00000134595	6658.0	SOX3	HMG	TF	
ENSG00000138795	51176.0	LEF1	HMG	TF	
ENSG00000140382	10363.0	HMG20A	HMG	TF	
ENSG00000143842	9580.0	SOX13	HMG	TF	
ENSG00000148737	6934.0	TCF7L2	HMG	TF	
ENSG00000149136	6749.0	SSRP1	HMG	TF	
ENSG00000152284	83439.0	TCF7L1	HMG	TF	
ENSG00000164736	64321.0	SOX17	HMG	TF	
ENSG00000168875	8403.0	SOX14	HMG	TF	
ENSG00000171056	54984.0	PINX1	HMG	TF	
ENSG00000171056	83595.0	SOX7	HMG	TF	
ENSG00000176256			HMG	TF	
ENSG00000176887	6664.0	SOX11	HMG	TF	
ENSG00000177732	6666.0	SOX12	HMG	TF	
ENSG00000181449	6657.0	SOX2	HMG	TF	
ENSG00000182968	6656.0	SOX1	HMG	TF	
ENSG00000184895	6736.0	SRY	HMG	TF	
ENSG00000203883	54345.0	SOX18	HMG	TF	
ENSG00000213472			HMG	TF	
ENSG00000229361	642623.0	UBTFL1	HMG	TF	
ENSG00000234376	120126.0	UBTFL2	HMG	TF	
ENSG00000254093			HMG	TF	
ENSG00000198846	9760.0	TOX	HMG	TF	
ENSG00000189403	3146.0	HMGB1	HMG	TF	
ENSG00000164104	3148.0	HMGB2	HMG	TF	
ENSG00000163939	55193.0	PBRM1	HMG	TF	
ENSG00000103460	27324.0	TOX3	HMG	TF	
ENSG00000073584	6605.0	SMARCE1	HMG	TF	
ENSG00000064961	10362.0	HMG20B	HMG	TF	
ENSG00000029993	3149.0	HMGB3	HMG	TF	
ENSG00000149948	8091.0	HMGA2	HMGI/HMGY	TF	
ENSG00000137309	3159.0	HMGA1	HMGI/HMGY	TF	
ENSG00000004848	170302.0	ARX	Homeobox	TF	
ENSG00000005073	3207.0	HOXA11	Homeobox	TF	
ENSG00000005102	4222.0	MEOX1	Homeobox	TF	
ENSG00000006377	1750.0	DLX6	Homeobox	TF	
ENSG00000016082	3670.0	ISL1	Homeobox	TF	
ENSG00000037965	3224.0	HOXC8	Homeobox	TF	
ENSG00000043039	8538.0	BARX2	Homeobox	TF	
ENSG00000052850	60529.0	ALX4	Homeobox	TF	
ENSG00000063515	2928.0	GSC2	Homeobox	TF	
ENSG00000064195	1747.0	DLX3	Homeobox	TF	
ENSG00000069011	5307.0	PITX1	Homeobox	TF	
ENSG00000078399	3205.0	HOXA9	Homeobox	TF	
ENSG00000078399	3206.0	HOXA10	Homeobox	TF	
ENSG00000089116	64211.0	LHX5	Homeobox	TF	
ENSG00000090661	79603.0	LASS4	Homeobox	TF	
ENSG00000091656	79776.0	ZFHX4	Homeobox	TF	
ENSG00000100625	51804.0	SIX4	Homeobox	TF	
ENSG00000100987	30813.0	VSX1	Homeobox	TF	
ENSG00000101126	23394.0	ADNP	Homeobox	TF	
ENSG00000101883	158800.0	RHOXF1	Homeobox	TF	
ENSG00000105419	56917.0	MEIS3	Homeobox	TF	
ENSG00000105717	80714.0	PBX4	Homeobox	TF	
ENSG00000105880	1749.0	DLX5	Homeobox	TF	
ENSG00000105991	3198.0	HOXA1	Homeobox	TF	
ENSG00000105996	3199.0	HOXA2	Homeobox	TF	
ENSG00000105997	3200.0	HOXA3	Homeobox	TF	
ENSG00000106004	3202.0	HOXA5	Homeobox	TF	
ENSG00000106006	3203.0	HOXA6	Homeobox	TF	
ENSG00000106031	3209.0	HOXA13	Homeobox	TF	
ENSG00000106038	2128.0	EVX1	Homeobox	TF	
ENSG00000106410	135935.0	NOBOX	Homeobox	TF	
ENSG00000106511	4223.0	MEOX2	Homeobox	TF	
ENSG00000106689	9355.0	LHX2	Homeobox	TF	
ENSG00000106852	26468.0	LHX6	Homeobox	TF	
ENSG00000107187	8022.0	LHX3	Homeobox	TF	
ENSG00000107807	3195.0	TLX1	Homeobox	TF	
ENSG00000107859	5309.0	PITX3	Homeobox	TF	
ENSG00000108511	3216.0	HOXB6	Homeobox	TF	
ENSG00000108753	6928.0	HNF1B	Homeobox	TF	
ENSG00000108813	1748.0	DLX4	Homeobox	TF	
ENSG00000109072	645832.0	SEBOX	Homeobox	TF	
ENSG00000109072	7448.0	VTN	Homeobox	TF	
ENSG00000109132	8929.0	PHOX2B	Homeobox	TF	
ENSG00000109705	579.0	NKX3-2	Homeobox	TF	
ENSG00000109851	120237.0	DBX1	Homeobox	TF	
ENSG00000111704	79923.0	NANOG	Homeobox	TF	
ENSG00000113430	50805.0	IRX4	Homeobox	TF	
ENSG00000113722	1044.0	CDX1	Homeobox	TF	
ENSG00000115297	3196.0	TLX2	Homeobox	TF	
ENSG00000115844	1746.0	DLX2	Homeobox	TF	
ENSG00000116035	25806.0	VAX2	Homeobox	TF	
ENSG00000116132	5396.0	PRRX1	Homeobox	TF	
ENSG00000118707	60436.0	TGIF2	Homeobox	TF	
ENSG00000119614	338917.0	VSX2	Homeobox	TF	
ENSG00000119919	159296.0	NKX2-3	Homeobox	TF	
ENSG00000120068	3218.0	HOXB8	Homeobox	TF	
ENSG00000120075	3215.0	HOXB5	Homeobox	TF	
ENSG00000120087	3217.0	HOXB7	Homeobox	TF	
ENSG00000120093	3213.0	HOXB3	Homeobox	TF	
ENSG00000120094	3211.0	HOXB1	Homeobox	TF	
ENSG00000120149	4488.0	MSX2	Homeobox	TF	
ENSG00000121454	89884.0	LHX4	Homeobox	TF	
ENSG00000122592	3204.0	HOXA7	Homeobox	TF	
ENSG00000123364	3229.0	HOXC13	Homeobox	TF	
ENSG00000123388	3227.0	HOXC11	Homeobox	TF	
ENSG00000123407	3228.0	HOXC12	Homeobox	TF	
ENSG00000123576	80712.0	ESX1	Homeobox	TF	
ENSG00000125492	56751.0	BARHL1	Homeobox	TF	
ENSG00000125816	644524.0	NKX2-4	Homeobox	TF	
ENSG00000125820	4821.0	NKX2-2	Homeobox	TF	
ENSG00000126778	6495.0	SIX1	Homeobox	TF	
ENSG00000128645	3231.0	HOXD1	Homeobox	TF	
ENSG00000128652	3232.0	HOXD3	Homeobox	TF	
ENSG00000128709	3235.0	HOXD9	Homeobox	TF	
ENSG00000128710	3236.0	HOXD10	Homeobox	TF	
ENSG00000128713	3237.0	HOXD11	Homeobox	TF	
ENSG00000128714	3239.0	HOXD13	Homeobox	TF	
ENSG00000130675	3110.0	MNX1	Homeobox	TF	
ENSG00000131264	1046.0	CDX4	Homeobox	TF	
ENSG00000131668	56033.0	BARX1	Homeobox	TF	
ENSG00000131721	84528.0	RHOXF2	Homeobox	TF	
ENSG00000132130	3975.0	LHX1	Homeobox	TF	
ENSG00000133937	145258.0	GSC	Homeobox	TF	
ENSG00000134138	4212.0	MEIS2	Homeobox	TF	
ENSG00000134438	30062.0	RAX	Homeobox	TF	
ENSG00000135638	2016.0	EMX1	Homeobox	TF	
ENSG00000136327	26257.0	NKX2-8	Homeobox	TF	
ENSG00000136352	7080.0	NKX2-1	Homeobox	TF	
ENSG00000136367			Homeobox	TF	
ENSG00000136630	3142.0	HLX	Homeobox	TF	
ENSG00000136944	4010.0	LMX1B	Homeobox	TF	
ENSG00000138083	6496.0	SIX3	Homeobox	TF	
ENSG00000138136	10660.0	LBX1	Homeobox	TF	
ENSG00000139515	3651.0	PDX1	Homeobox	TF	
ENSG00000139624	91012.0	LASS5	Homeobox	TF	
ENSG00000140836	463.0	ZFHX3	Homeobox	TF	
ENSG00000143032	343472.0	BARHL2	Homeobox	TF	
ENSG00000143355	56956.0	LHX9	Homeobox	TF	
ENSG00000143418	29956.0	LASS2	Homeobox	TF	
ENSG00000143995	4211.0	MEIS1	Homeobox	TF	
ENSG00000144355	1745.0	DLX1	Homeobox	TF	
ENSG00000147421	79618.0	HMBOX1	Homeobox	TF	
ENSG00000148516	6935.0	ZEB1	Homeobox	TF	
ENSG00000148704	11023.0	VAX1	Homeobox	TF	
ENSG00000148826	84504.0	NKX6-2	Homeobox	TF	
ENSG00000151650	27287.0	VENTX	Homeobox	TF	
ENSG00000152804	3087.0	HHEX	Homeobox	TF	
ENSG00000153779	90316.0	TGIF2LX	Homeobox	TF	
ENSG00000154227	204219.0	LASS3	Homeobox	TF	
ENSG00000156150	257.0	ALX3	Homeobox	TF	
ENSG00000159184	10481.0	HOXB13	Homeobox	TF	
ENSG00000159387	79190.0	IRX6	Homeobox	TF	
ENSG00000159556	64843.0	ISL2	Homeobox	TF	
ENSG00000160199	5316.0	PKNOX1	Homeobox	TF	
ENSG00000162624	431707.0	LHX8	Homeobox	TF	
ENSG00000162761	4009.0	LMX1A	Homeobox	TF	
ENSG00000163064	2019.0	EN1	Homeobox	TF	
ENSG00000163132	4487.0	MSX1	Homeobox	TF	
ENSG00000163623	4825.0	NKX6-1	Homeobox	TF	
ENSG00000163666	8820.0	HESX1	Homeobox	TF	
ENSG00000164093	5308.0	PITX2	Homeobox	TF	
ENSG00000164438	30012.0	TLX3	Homeobox	TF	
ENSG00000164778	2020.0	EN2	Homeobox	TF	
ENSG00000164853	340260.0	UNCX	Homeobox	TF	
ENSG00000164900	2636.0	GBX1	Homeobox	TF	
ENSG00000165066	157848.0	NKX6-3	Homeobox	TF	
ENSG00000165156	11244.0	ZHX1	Homeobox	TF	
ENSG00000165259	139324.0	HDX	Homeobox	TF	
ENSG00000165462	401.0	PHOX2A	Homeobox	TF	
ENSG00000165495	63876.0	PKNOX2	Homeobox	TF	
ENSG00000165556	1045.0	CDX2	Homeobox	TF	
ENSG00000165606	644168.0	DRGX	Homeobox	TF	
ENSG00000167034	4824.0	NKX3-1	Homeobox	TF	
ENSG00000167081	5090.0	PBX3	Homeobox	TF	
ENSG00000167157	51450.0	PRRX2	Homeobox	TF	
ENSG00000168505	2637.0	GBX2	Homeobox	TF	
ENSG00000168779	6474.0	SHOX2	Homeobox	TF	
ENSG00000169840	219409.0	GSX1	Homeobox	TF	
ENSG00000170166	3233.0	HOXD4	Homeobox	TF	
ENSG00000170178	3238.0	HOXD12	Homeobox	TF	
ENSG00000170370	2018.0	EMX2	Homeobox	TF	
ENSG00000170549	79192.0	IRX1	Homeobox	TF	
ENSG00000170561	153572.0	IRX2	Homeobox	TF	
ENSG00000170577	10736.0	SIX2	Homeobox	TF	
ENSG00000170689	3219.0	HOXB9	Homeobox	TF	
ENSG00000171476	84525.0	HOPX	Homeobox	TF	
ENSG00000171540	23440.0	OTP	Homeobox	TF	
ENSG00000172292	253782.0	LASS6	Homeobox	TF	
ENSG00000172789	3222.0	HOXC5	Homeobox	TF	
ENSG00000173917	3212.0	HOXB2	Homeobox	TF	
ENSG00000173976	84839.0	RAX2	Homeobox	TF	
